,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Country,Survey,Characteristic,Family planning use decisionmaking mainly by wife,Family planning non-use decisionmaking mainly by wife,LivWell own house,Do not own a house [Women],,Do not own land [Women],Decision maker about Own health care: Mainly wife [Women],Decision maker about Major household purchases: Mainly wife [Women],Decision maker about Visits to her family or relatives: Mainly wife [Women],Final say in own health care [Women],Final say in making large purchases [Women],"Final say in visits to family, relatives, friends [Women]",Women who decide themselves how their earnings are used,Wife earns more than husband
Armenia,2015-16 DHS,Region : Yerevan,23.1,19.4,44.25,55.7,99.95,98.5,,,,97.4,84.4,95,32.8,9.3
Armenia,2015-16 DHS,Decision : Own health care,,,,,,,28,,,,,,,
Armenia,2015-16 DHS,Decision : Major household purchases,,,,,,,,13.6,,,,,,
Armenia,2015-16 DHS,Decision : Visits to her family or relatives,,,,,,,,,12.5,,,,,
Armenia,2010 DHS,Total,12.1,,,28.4,,60.8,,,,94.2,86.3,91.4,26.9,8.6
Armenia,2010 DHS,Region : Aragatsotn,9.9,,80.97,19,99.97,44,,,,95.6,80.2,80.7,2.7,7.7
Armenia,2010 DHS,Region : Ararat,3.5,,97.43,2.6,100.03,25.5,,,,99.4,81.5,87.8,0.5,2.8
Armenia,2010 DHS,Region : Armavir,7.6,,65.75,34.3,100.05,47.1,,,,81.4,76.2,80.1,17.1,5.1
Armenia,2010 DHS,Region : Gegharkunik,2.6,,98.43,1.6,100.03,16.9,,,,94.8,84.1,86.2,5.6,11.9
Armenia,2010 DHS,Region : Lori,17.1,,75.1,24.7,99.8,65.7,,,,96.8,82.1,95.7,27.9,7.4
Armenia,2010 DHS,Region : Kotayk,21.3,,95.06,4.9,99.96,60.7,,,,97.4,88.1,96.8,28.7,4.5
Armenia,2010 DHS,Region : Shirak,8.7,,79.21,20.8,100.01,57.6,,,,92.2,85.6,90.8,24,10
Armenia,2010 DHS,Region : Syunik,4.2,,70.86,29.1,99.96,45.3,,,,94.2,90.9,93.9,12.6,4
Armenia,2010 DHS,Region : Vayots Dzor,10,,25.5,74.5,100,83.5,,,,99.2,93.3,98.4,35.3,9.7
Armenia,2010 DHS,Region : Tavush,4.8,,78.54,21.5,100.04,36.3,,,,92.8,86.4,91.9,34.8,9.9
Armenia,2010 DHS,Region : Yerevan,15.3,,54.07,45.9,99.97,85.3,,,,95.8,91.7,95.3,40.5,10.8
Armenia,2010 DHS,Decision : Own health care,,,,,,,18.9,,,,,,,
Armenia,2010 DHS,Decision : Major household purchases,,,,,,,,15.2,,,,,,
Armenia,2010 DHS,Decision : Visits to her family or relatives,,,,,,,,,9.2,,,,,
Armenia,2005 DHS,Total,8.4,,,,,,,,,89.9,76.8,87,22.7,
Armenia,2005 DHS,Region : Aragatsotn,4.6,,,,,,,,,85.1,71.8,78.8,24.9,
Armenia,2005 DHS,Region : Ararat,12.7,,,,,,,,,92.5,75.7,88.3,6.5,
Armenia,2005 DHS,Region : Armavir,5.9,,,,,,,,,85.7,69.5,82.7,13.4,
Armenia,2005 DHS,Region : Gegharkunik,11.7,,,,,,,,,78.4,69.2,79.2,15.4,
Armenia,2005 DHS,Region : Lori,5.1,,,,,,,,,95.6,88.2,94.7,10.6,
Armenia,2005 DHS,Region : Kotayk,11.3,,,,,,,,,90.7,75.5,85,21.6,
Armenia,2005 DHS,Region : Shirak,5.7,,,,,,,,,92.2,77,83.2,22.7,
Armenia,2005 DHS,Region : Syunik,14.7,,,,,,,,,76.9,81,84.3,36.6,
Armenia,2005 DHS,Region : Vayots Dzor,2.2,,,,,,,,,83.7,73.4,86.9,11.1,
Armenia,2005 DHS,Region : Tavush,6.9,,,,,,,,,93.9,78.4,85.3,20.2,
Armenia,2005 DHS,Region : Yerevan,8.7,,,,,,,,,93,78.4,91,28.9,
Armenia,2005 DHS,Decision : Own health care,,,,,,,33.3,,,,,,,
Armenia,2005 DHS,Decision : Major household purchases,,,,,,,,23,,,,,,
Armenia,2005 DHS,Decision : Visits to her family or relatives,,,,,,,,,12.7,,,,,
Armenia,2000 DHS,Total,,,,,,,,,,73.8,60,74.8,36.4,
Armenia,2000 DHS,Region : Aragatsotn,,,,,,,,,,76.1,60.6,71.9,28,
Armenia,2000 DHS,Region : Ararat,,,,,,,,,,80.8,49.9,77.5,30.9,
Armenia,2000 DHS,Region : Armavir,,,,,,,,,,69.2,52.7,60.2,32.8,
Armenia,2000 DHS,Region : Gegharkunik,,,,,,,,,,44.6,36.8,45.8,9.6,
Armenia,2000 DHS,Region : Lori,,,,,,,,,,79.3,74.8,82.2,35.3,
Armenia,2000 DHS,Region : Kotayk,,,,,,,,,,67.6,52.9,73.7,49.3,
Armenia,2000 DHS,Region : Shirak,,,,,,,,,,88.8,65.7,85.9,28.9,
Armenia,2000 DHS,Region : Syunik,,,,,,,,,,82.3,72.8,88.6,33,
Armenia,2000 DHS,Region : Vayots Dzor,,,,,,,,,,45,45.3,54.4,36.4,
Armenia,2000 DHS,Region : Tavush,,,,,,,,,,61.9,58.5,71.5,32.5,
Armenia,2000 DHS,Region : Yerevan,,,,,,,,,,78.1,67.3,81.3,42.6,
Armenia,2000 DHS,Decision : Own health care,,,,,,,33.8,,,,,,,
Armenia,2000 DHS,Decision : Major household purchases,,,,,,,,9.8,,,,,,
Armenia,2000 DHS,Decision : Visits to her family or relatives,,,,,,,,,10.7,,,,,
Congo Democratic Republic,2013-14 DHS,Total,26.6,,,62.7,,65.8,,,,46.3,59.8,54.2,28.6,9.5
Congo Democratic Republic,2013-14 DHS,Region : Kinshasa,31.9,,,89,,95.3,,,,60.3,72.8,71.1,63,18.7
Congo Democratic Republic,2013-14 DHS,Region : Bas-Congo,24.9,,,73.7,,68.3,,,,44.9,68,43.1,35.6,5.4
Congo Democratic Republic,2013-14 DHS,Region : Bandundu,31,,,51.4,,58.3,,,,41.3,59.3,52.4,24,10.1
Congo Democratic Republic,2013-14 DHS,Region : Equateur,34.3,,,62.4,,64.8,,,,43.2,58.9,55.1,26.9,9.1
Congo Democratic Republic,2013-14 DHS,Region : Orientale,20.9,,,55.3,,58.8,,,,53.7,66.6,60.8,32.2,7.7
Congo Democratic Republic,2013-14 DHS,Region : Nord-Kivu,21.5,,,64.4,,71.3,,,,58.5,64.1,66.3,22.8,10.7
Congo Democratic Republic,2013-14 DHS,Region : Maniema,15.4,,,57.9,,65.6,,,,45.1,55.6,52.5,16.5,9.4
Congo Democratic Republic,2013-14 DHS,Region : Sud-Kivu,29.1,,,54.8,,49.2,,,,66,78.9,69.5,19.1,7.6
Congo Democratic Republic,2013-14 DHS,Region : Katanga,11.8,,,56.3,,51,,,,38.1,49.9,46.9,23.4,7.1
Congo Democratic Republic,2013-14 DHS,Region : Kasaï Oriental,18.3,,,67.5,,74.3,,,,34.3,46.9,43.4,27.4,9.2
Congo Democratic Republic,2013-14 DHS,Region : Kasaï Occident,22,,,56.4,,61.1,,,,38.7,47.1,35.6,23.3,8.2
Congo Democratic Republic,2013-14 DHS,Decision : Own health care,,,,,,,10.7,,,,,,,
Congo Democratic Republic,2013-14 DHS,Decision : Major household purchases,,,,,,,,16.6,,,,,,
Congo Democratic Republic,2013-14 DHS,Decision : Visits to her family or relatives,,,,,,,,,18.8,,,,,
Congo Democratic Republic,2007 DHS,Total,22.3,,,,,,,,,40.5,44.1,46,25,
Congo Democratic Republic,2007 DHS,Region : Kinshasa,25,,,,,,,,,48.5,49.4,55.5,60.9,
Congo Democratic Republic,2007 DHS,Region : Bas-Congo,18.3,,,,,,,,,36.6,42.9,51.6,28.5,
Congo Democratic Republic,2007 DHS,Region : Bandundu,14.4,,,,,,,,,39.7,44.6,51.6,11.9,
Congo Democratic Republic,2007 DHS,Region : Equateur,34.8,,,,,,,,,54,52.7,48.8,11.8,
Congo Democratic Republic,2007 DHS,Region : Orientale,42.7,,,,,,,,,46.8,50.2,50.1,20.9,
Congo Democratic Republic,2007 DHS,Region : Nord-Kivu,35,,,,,,,,,41.3,49,44.8,24.8,
Congo Democratic Republic,2007 DHS,Region : Maniema,29.6,,,,,,,,,33.5,50.4,37.9,17.1,
Congo Democratic Republic,2007 DHS,Region : Sud-Kivu,13.8,,,,,,,,,34.2,37.6,43.5,54.4,
Congo Democratic Republic,2007 DHS,Region : Katanga,16.6,,,,,,,,,44.2,48.4,52.8,26,
Congo Democratic Republic,2007 DHS,Region : Kasaï Oriental,5.4,,,,,,,,,29.6,35,36.2,27.8,
Congo Democratic Republic,2007 DHS,Region : Kasaï Occident,18,,,,,,,,,23.5,24.6,25.8,23.4,
Congo Democratic Republic,2007 DHS,Decision : Own health care,,,,,,,22.2,,,,,,,
Congo Democratic Republic,2007 DHS,Decision : Major household purchases,,,,,,,,13.1,,,,,,
Congo Democratic Republic,2007 DHS,Decision : Visits to her family or relatives,,,,,,,,,17.7,,,,,
Ethiopia,2016 DHS,Total,21.6,30.1,,50.4,,59.7,,,,81.4,78.2,83.8,29.8,15.8
Ethiopia,2016 DHS,Region : Tigray,28.6,36.4,,55.2,,62.5,,,,84.2,79.1,81.5,29,7.1
Ethiopia,2016 DHS,Region : Afar,22.6,31.6,,48.5,,78.6,,,,71.2,70.2,74.5,27.9,10.6
Ethiopia,2016 DHS,Region : Amhara,23.1,39.4,,37.4,,49,,,,87,86.7,90.3,27,16.8
Ethiopia,2016 DHS,Region : Oromia,17.1,24.9,,53.7,,62.9,,,,79.8,76.7,83.8,22,13.8
Ethiopia,2016 DHS,Region : Somali,,21.5,,42.5,,68.6,,,,75.9,69.3,80.5,55.7,43.8
Ethiopia,2016 DHS,Region : Benishangul-Gumuz,14.4,22.3,,38.8,,47.7,,,,79.7,73.5,83.5,8.5,9
Ethiopia,2016 DHS,Region : SNNPR,22.6,32.2,,49.2,,52.9,,,,76.7,71.1,76.2,35.3,18.6
Ethiopia,2016 DHS,Region : Gambela,23.8,39.3,,54.9,,66.5,,,,79.4,74.7,80.5,44.5,13.4
Ethiopia,2016 DHS,Region : Harari,43.7,50.3,,64.5,,73.5,,,,91.6,89.6,91.5,28.5,19.2
Ethiopia,2016 DHS,Region : Addis Ababa,25,31,,84.2,,96,,,,92.8,89.6,93.5,40,13.4
Ethiopia,2016 DHS,Region : Dire Dawa,37.4,33.3,,71.3,,81.7,,,,84.4,83.2,88.7,35,29.5
Ethiopia,2016 DHS,Decision : Own health care,,,,,,,15.4,,,,,,,
Ethiopia,2016 DHS,Decision : Major household purchases,,,,,,,,10.6,,,,,,
Ethiopia,2016 DHS,Decision : Visits to her family or relatives,,,,,,,,,18,,,,,
Ethiopia,2011 DHS,Total,17.1,,,42.7,,50,,,,74.4,66.1,77.8,35.9,10.2
Ethiopia,2011 DHS,Region : Tigray,24.3,,,48.1,,51.6,,,,87.1,68.9,84.1,19.9,4
Ethiopia,2011 DHS,Region : Afar,17.1,,,35.1,,78,,,,72.8,64.7,70.3,21.1,9.5
Ethiopia,2011 DHS,Region : Amhara,16.8,,,41.3,,52.4,,,,79.8,67.9,80.1,32.2,8.2
Ethiopia,2011 DHS,Region : Oromia,16.6,,,40.8,,45.6,,,,71.9,69.4,77.3,33.7,11.8
Ethiopia,2011 DHS,Region : Somali,34.6,,,38,,58.7,,,,54.6,47.4,53.1,56.2,16.7
Ethiopia,2011 DHS,Region : Benishangul-Gumuz,12.6,,,31.8,,42.9,,,,70.9,62.3,72.9,22.5,10.5
Ethiopia,2011 DHS,Region : SNNPR,16.7,,,36,,39.6,,,,67.6,55.2,75,45.3,10.1
Ethiopia,2011 DHS,Region : Gambela,18.3,,,45.2,,57.8,,,,71.3,61.7,69.6,45.2,11.4
Ethiopia,2011 DHS,Region : Harari,18.1,,,62.2,,71,,,,81.3,75.9,84.6,44.3,16.3
Ethiopia,2011 DHS,Region : Addis Ababa,16.2,,,81.7,,93.2,,,,90.2,87.4,91.2,40.8,10.8
Ethiopia,2011 DHS,Region : Dire Dawa,29.3,,,68,,77.8,,,,80.5,77.3,78.4,51.4,22.8
Ethiopia,2011 DHS,Decision : Own health care,,,,,,,13.4,,,,,,,
Ethiopia,2011 DHS,Decision : Major household purchases,,,,,,,,5.8,,,,,,
Ethiopia,2011 DHS,Decision : Visits to her family or relatives,,,,,,,,,17.2,,,,,
Ethiopia,2005 DHS,Total,17.8,,,,,,,,,65.8,57.1,78.4,38.8,
Ethiopia,2005 DHS,Region : Tigray,30.1,,,,,,,,,65.4,65.1,89.4,26.8,
Ethiopia,2005 DHS,Region : Afar,5.2,,,,,,,,,67.2,57,74.9,14.4,
Ethiopia,2005 DHS,Region : Amhara,18.4,,,,,,,,,77.4,65.9,85.4,24,
Ethiopia,2005 DHS,Region : Oromia,13,,,,,,,,,62.3,56.5,77.5,44,
Ethiopia,2005 DHS,Region : Somali,0,,,,,,,,,54,41.7,52.5,61,
Ethiopia,2005 DHS,Region : Benishangul-Gumuz,13.1,,,,,,,,,57.1,49.9,68.2,19.5,
Ethiopia,2005 DHS,Region : SNNPR,22.4,,,,,,,,,57.9,45,72.1,47,
Ethiopia,2005 DHS,Region : Gambela,13.2,,,,,,,,,56.1,42.1,71.8,31.8,
Ethiopia,2005 DHS,Region : Harari,9.3,,,,,,,,,75,71.1,82.9,54.5,
Ethiopia,2005 DHS,Region : Addis Ababa,17.1,,,,,,,,,90.5,86.8,94.9,35.7,
Ethiopia,2005 DHS,Region : Dire Dawa,33.3,,,,,,,,,72.1,79,79.5,47.9,
Ethiopia,2005 DHS,Decision : Own health care,,,,,,,14.6,,,,,,,
Ethiopia,2005 DHS,Decision : Major household purchases,,,,,,,,12.4,,,,,,
Ethiopia,2005 DHS,Decision : Visits to her family or relatives,,,,,,,,,10.4,,,,,
Ethiopia,2000 DHS,Total,23.6,,,,,,,,,,,,62.4,
Ethiopia,2000 DHS,Region : Tigray,28.4,,,,,,,,,,,,60.7,
Ethiopia,2000 DHS,Region : Afar,28.1,,,,,,,,,,,,30.6,
Ethiopia,2000 DHS,Region : Amhara,23.2,,,,,,,,,,,,30,
Ethiopia,2000 DHS,Region : Oromia,25.9,,,,,,,,,,,,68.4,
Ethiopia,2000 DHS,Region : Somali,38.5,,,,,,,,,,,,67.3,
Ethiopia,2000 DHS,Region : Benishangul-Gumuz,24.2,,,,,,,,,,,,19.7,
Ethiopia,2000 DHS,Region : SNNPR,23.1,,,,,,,,,,,,76.3,
Ethiopia,2000 DHS,Region : Gambela,42.8,,,,,,,,,,,,60.3,
Ethiopia,2000 DHS,Region : Harari,12.6,,,,,,,,,,,,77.5,
Ethiopia,2000 DHS,Region : Addis Ababa,16.7,,,,,,,,,,,,63.2,
Ethiopia,2000 DHS,Region : Dire Dawa,15.4,,,,,,,,,,,,56.6,
Ethiopia,2000 DHS,Decision : Own health care,,,,,,,,,,,,,,
Ethiopia,2000 DHS,Decision : Major household purchases,,,,,,,,,,,,,,
Ethiopia,2000 DHS,Decision : Visits to her family or relatives,,,,,,,,,,,,,,
Lesotho,2014 DHS,Total,17.5,,,64.8,,72.2,,,,89.3,88.8,72.2,33.1,15.3
Lesotho,2014 DHS,Region : Butha-Buthe,17,,,59,,60.9,,,,90.7,91.9,76.4,25.5,9.1
Lesotho,2014 DHS,Region : Leribe,21.8,,,62,,75.1,,,,90,90.7,76.8,42.8,14
Lesotho,2014 DHS,Region : Berea,18.6,,,68,,70.8,,,,87.5,88.9,71.5,33.3,15
Lesotho,2014 DHS,Region : Maseru,16.7,,,70.1,,69.1,,,,92.4,93.4,78.2,28.2,17
Lesotho,2014 DHS,Region : Mafeteng,14.3,,,72.4,,71,,,,85,86,64.4,42.9,22.6
Lesotho,2014 DHS,Region : Mohale's Hoek,18.3,,,63.5,,77,,,,91.8,84,70.9,35.8,9.9
Lesotho,2014 DHS,Region : Quthing,14.8,,,65.7,,77.4,,,,91,89,71.6,37,10.2
Lesotho,2014 DHS,Region : Qasha's Nek,20.7,,,58,,73.6,,,,86.3,83.7,61.2,34,8.3
Lesotho,2014 DHS,Region : Mokhotlong,16.4,,,62.5,,78.3,,,,88.6,85.5,63.6,22.8,14.4
Lesotho,2014 DHS,Region : Thaba-Tseka,13.9,,,44.1,,77.9,,,,83.1,80.5,62.5,27.8,15.8
Lesotho,2014 DHS,Decision : Own health care,,,,,,,40.3,,,,,,,
Lesotho,2014 DHS,Decision : Major household purchases,,,,,,,,13.7,,,,,,
Lesotho,2014 DHS,Decision : Visits to her family or relatives,,,,,,,,,22.5,,,,,
Lesotho,2009 DHS,Total,17.9,,,,,,,,,82.5,78.2,66.2,36.5,15.8
Lesotho,2009 DHS,Region : Butha-Buthe,28.5,,,,,,,,,78.6,75.6,66.1,34.7,18.6
Lesotho,2009 DHS,Region : Leribe,17.5,,,,,,,,,84.6,74.7,70,40.4,22.7
Lesotho,2009 DHS,Region : Berea,17.8,,,,,,,,,88.6,84.5,70.4,36.6,11.3
Lesotho,2009 DHS,Region : Maseru,15.2,,,,,,,,,87.9,85.4,71.7,29.9,14
Lesotho,2009 DHS,Region : Mafeteng,15.8,,,,,,,,,84.1,77.7,71,43.3,12.6
Lesotho,2009 DHS,Region : Mohale's Hoek,22.6,,,,,,,,,76.2,70.5,56.5,51.2,16.9
Lesotho,2009 DHS,Region : Quthing,25.3,,,,,,,,,72.8,69.7,58.5,49.5,17.4
Lesotho,2009 DHS,Region : Qasha's Nek,20,,,,,,,,,86.4,83.1,73.1,21.7,14.7
Lesotho,2009 DHS,Region : Mokhotlong,20.8,,,,,,,,,65,71,49.2,46.5,13.5
Lesotho,2009 DHS,Region : Thaba-Tseka,12.6,,,,,,,,,72.8,70.8,49.6,32.9,18.7
Lesotho,2009 DHS,Decision : Own health care,,,,,,,44.1,,,,,,,
Lesotho,2009 DHS,Decision : Major household purchases,,,,,,,,15.1,,,,,,
Lesotho,2009 DHS,Decision : Visits to her family or relatives,,,,,,,,,31.9,,,,,
Lesotho,2004 DHS,Total,15,,,,,,,,,49.3,43.1,59.4,52,
Lesotho,2004 DHS,Region : Butha-Buthe,16.9,,,,,,,,,39.2,42.1,48.1,52.6,
Lesotho,2004 DHS,Region : Leribe,12.6,,,,,,,,,41.2,33.9,60.5,60.7,
Lesotho,2004 DHS,Region : Berea,9.4,,,,,,,,,32.1,30.9,52.9,63.3,
Lesotho,2004 DHS,Region : Maseru,15.2,,,,,,,,,55.8,52.6,64.5,51.4,
Lesotho,2004 DHS,Region : Mafeteng,14.9,,,,,,,,,72.4,60.9,83,38.4,
Lesotho,2004 DHS,Region : Mohale's Hoek,15.2,,,,,,,,,49.1,42.5,56.9,43.8,
Lesotho,2004 DHS,Region : Quthing,19.6,,,,,,,,,67.6,58.3,71.3,41.3,
Lesotho,2004 DHS,Region : Qasha's Nek,26.1,,,,,,,,,41.6,27.5,47.3,55.3,
Lesotho,2004 DHS,Region : Mokhotlong,13.7,,,,,,,,,49.5,33.4,40.6,44.6,
Lesotho,2004 DHS,Region : Thaba-Tseka,24.1,,,,,,,,,34.5,25.3,36.8,41.4,
Lesotho,2004 DHS,Decision : Own health care,,,,,,,37,,,,,,,
Lesotho,2004 DHS,Decision : Major household purchases,,,,,,,,14.1,,,,,,
Lesotho,2004 DHS,Decision : Visits to her family or relatives,,,,,,,,,24.3,,,,,
Malawi,2015-16 DHS,Total,12.8,31.1,,40.9,,42.3,,,,67.6,55.4,78,28.4,7.7
Malawi,2015-16 DHS,Region : Northern,12.4,19.9,,39.5,,39.9,,,,65.5,57.7,72.2,25.1,10.1
Malawi,2015-16 DHS,Region : Central,10.4,28.1,,40.8,,43.2,,,,68.7,58.5,80.3,28.2,6
Malawi,2015-16 DHS,Region : Southern,15.7,36.1,,41.4,,42.1,,,,67.2,51.7,77.4,29.5,9.1
Malawi,2015-16 DHS,Region : ..Chitipa,11.2,13.3,,34,,34.2,,,,69.9,67.8,76,10,13.5
Malawi,2015-16 DHS,Region : ..Karonga,16.6,29.7,,38.4,,38.5,,,,74.2,55.9,77.9,41.8,7.5
Malawi,2015-16 DHS,Region : ..Mzimba,8.8,18.6,,30,,32.4,,,,59.9,51.5,66.7,20.7,12.6
Malawi,2015-16 DHS,Region : ..Rumphi,14,15.7,,43.9,,39.3,,,,69.6,66.1,76.4,21.8,9.4
Malawi,2015-16 DHS,Region : ..Nkhata Bay,16.6,20,,49.2,,41,,,,65.7,60.4,72.5,20.6,6.7
Malawi,2015-16 DHS,Region : ..Likoma,16.6,36.5,,57.7,,74.3,,,,70.8,78.3,89.2,25.6,23.7
Malawi,2015-16 DHS,Region : ..Mzuzu City,16.7,19.8,,65.7,,72.5,,,,69.3,69.3,79.8,22,8
Malawi,2015-16 DHS,Region : ..Dedza,8.9,31.2,,28.6,,28.5,,,,73.9,62.8,82.7,19.9,7.5
Malawi,2015-16 DHS,Region : ..Dowa,6.1,16.2,,32.3,,38,,,,59.9,53.5,76.2,11.6,4.7
Malawi,2015-16 DHS,Region : ..Kasungu,14.7,25.8,,48.6,,55.7,,,,63.7,52.3,72.9,25.6,6.5
Malawi,2015-16 DHS,Region : ..Lilongwe,11.2,26.9,,46.7,,48.4,,,,69.8,58.3,81.9,33.3,5.3
Malawi,2015-16 DHS,Region : ..Mchinji,7.2,18.7,,35.5,,38.9,,,,66,56.6,82.6,28.1,13.6
Malawi,2015-16 DHS,Region : ..Nkhotakota,13.6,29.8,,49.7,,49.3,,,,64.8,52.6,77.6,28.9,5.5
Malawi,2015-16 DHS,Region : ..Ntcheu,6.7,35.6,,33.1,,30.5,,,,86.2,78.7,90.4,16.1,5.6
Malawi,2015-16 DHS,Region : ..Ntchisi,9.1,29.1,,39.1,,48.9,,,,57.2,53.7,74,16.1,13.4
Malawi,2015-16 DHS,Region : ..Salima,15.7,43.2,,37.1,,38.6,,,,65.5,52.9,75,35.2,4.9
Malawi,2015-16 DHS,Region : ..Balaka,16.5,36.5,,33.2,,33.7,,,,71,62.4,78,30.7,5.6
Malawi,2015-16 DHS,Region : ..Blantyre,16.2,24.4,,63.3,,71.8,,,,78.7,63.8,88.1,47.1,11.3
Malawi,2015-16 DHS,Region : ..Chikwawa,10.2,17.3,,36.3,,43.3,,,,67,57.6,71.7,19.4,7.5
Malawi,2015-16 DHS,Region : ..Chiradzulu,12,45.7,,33.9,,34.8,,,,79.5,57.1,82.4,16,15.8
Malawi,2015-16 DHS,Region : ..Machinga,16.3,40.2,,35.7,,28.7,,,,51,33.4,66.6,37.3,8.5
Malawi,2015-16 DHS,Region : ..Mangochi,31.3,63.3,,39.2,,39.7,,,,48.8,29.9,53.6,39.4,18.2
Malawi,2015-16 DHS,Region : ..Mulanje,12.6,30.1,,35.2,,30.9,,,,65.2,45.8,82.7,21.5,6.8
Malawi,2015-16 DHS,Region : ..Mwanza,6.3,36.1,,39.7,,42.4,,,,74.3,58.5,83.2,24.2,3.6
Malawi,2015-16 DHS,Region : ..Neno,11.8,35.8,,32.9,,30.3,,,,61.5,52.1,72.2,15.7,4.3
Malawi,2015-16 DHS,Region : ..Nsanje,17.4,26.8,,32.9,,38.6,,,,85.4,60.4,84.8,17.7,5.3
Malawi,2015-16 DHS,Region : ..Phalombe,9.7,23.4,,29.1,,21.7,,,,59.1,37.2,78.7,23.4,11.5
Malawi,2015-16 DHS,Region : ..Thyolo,7.9,21,,40.4,,41.5,,,,81.3,65.4,87.8,25.4,7.7
Malawi,2015-16 DHS,Region : ..Zomba,21.8,25.9,,38.8,,35.9,,,,66.3,59.8,83.6,16.2,6.8
Malawi,2015-16 DHS,Region : ..Blantyre Rural,15.6,24.2,,48.8,,47.3,,,,73.7,69,81.9,53.8,9.5
Malawi,2015-16 DHS,Region : ..Blantyre City,16.5,24.5,,70.7,,84.2,,,,81.2,61.2,91.2,44,12.1
Malawi,2015-16 DHS,Region : ..Zomba Rural,21.2,24.1,,30.8,,25.3,,,,63.4,57.1,82.2,15.8,6.1
Malawi,2015-16 DHS,Region : ..Zomba City,25.2,37.2,,72.5,,80.8,,,,80.5,73.2,90.5,17.7,9.5
Malawi,2015-16 DHS,Region : ..Lilongwe Rural,7.5,20.7,,29.7,,30.7,,,,68.2,55.3,81.9,23.5,5
Malawi,2015-16 DHS,Region : ..Lilongwe City,17.6,37,,71.8,,74.6,,,,72.8,63.6,82,43.6,5.6
Malawi,2015-16 DHS,Decision : Own health care,,,,,,,18.6,,,,,,,
Malawi,2015-16 DHS,Decision : Major household purchases,,,,,,,,8.6,,,,,,
Malawi,2015-16 DHS,Decision : Visits to her family or relatives,,,,,,,,,18,,,,,
Malawi,2010 DHS,Total,12.1,,,,,,,,,55.4,30,66.5,36.6,9.6
Malawi,2010 DHS,Region : Northern,16,,,,,,,,,59.1,36,73.8,44.3,9.8
Malawi,2010 DHS,Region : Central,9.1,,,,,,,,,50.2,27.9,62.9,32,9
Malawi,2010 DHS,Region : Southern,14.2,,,,,,,,,59.3,30.4,67.9,39.1,10.1
Malawi,2010 DHS,Region : ..Chitipa,11.7,,,,,,,,,57.6,31,73,57,14.1
Malawi,2010 DHS,Region : ..Karonga,12.9,,,,,,,,,60.8,44.8,84.4,41.4,9.6
Malawi,2010 DHS,Region : ..Mzimba,18.2,,,,,,,,,60.7,32.4,72.4,44.7,8.8
Malawi,2010 DHS,Region : ..Nkhata Bay and Likoma,16.7,,,,,,,,,55,44.7,70.1,46.5,14.2
Malawi,2010 DHS,Region : ..Rumphi,16.4,,,,,,,,,54.7,35.1,69.8,39.5,10.1
Malawi,2010 DHS,Region : ..Dedza,6.9,,,,,,,,,42.8,19.8,60.3,21.2,13.4
Malawi,2010 DHS,Region : ..Dowa,9.4,,,,,,,,,52.4,26.3,62.1,34.1,12.5
Malawi,2010 DHS,Region : ..Kasungu,7.8,,,,,,,,,57.7,28.9,64.4,23.5,8.5
Malawi,2010 DHS,Region : ..Lilongwe,9.1,,,,,,,,,51.3,28.5,66.2,37.9,7.1
